,headline,score,date,newsroom
83,"uttar pradesh election: mulayam's prestige at stake for daughter-in-law, brother",0.0,2017-02-16,FirstPost news
84,"uttar pradesh election: this poll is to end dynastic, caste-based politics, says amit shah",0.0,2017-02-16,FirstPost news
85,up election 2017: congress rejects narendra modi's allegation of murder bid on mulayam singh yadav,0.0,2017-02-16,FirstPost news
86,up election 2017: narendra modi's elephantine memory shines light on mulayam's past,0.0,2017-02-16,FirstPost news
87,"up election 2017 highlights: ahead of third phase, priyanka to campaign in rae-bareily with rahul",0.0,2017-02-16,FirstPost news
88,"up election 2017: narendra modi, akhilesh yadav two sides of the same coin, says owaisi",0.0,2017-02-16,FirstPost news
89,"pm modi referring to 1984 since he has accepted defeat, says akhilesh yadav",0.0,2017-02-16,TimesOfIndia News
90,won't tolerate conspiracy against netaji and party: akhilesh yadav,-0.623706,2017-02-16,TimesOfIndia News
91,"huge voter turnouts in up mean people have rejected sp, ravi shankar prasad says",0.0,2017-02-16,TimesOfIndia News
92,"up minister vijay kumar mishra joins bsp, terms sp as 'anti-brahmin'",0.0,2017-02-16,TimesOfIndia News
93,"pm draws parallel with lord krishna, says he is adopted son of uttar pradesh",0.0,2017-02-16,TimesOfIndia News
94,"this up poll is to end dynastic, caste-based politics, amit shah says",0.0,2017-02-16,TimesOfIndia News
95,"after ambika chaudhary and narad rai, another sp mla joins bsp",0.0,2017-02-16,TimesOfIndia News
96,congress rejects pm modi's charge of murder bid on mulayam,-0.451687,2017-02-16,TimesOfIndia News
97,"mulayam's prestige at stake for daughter-in-law, brother",0.0,2017-02-16,TimesOfIndia News
98,farm loan waiver is another false promise of pm modi: rahul,-0.501236,2017-02-16,TimesOfIndia News
99,akhilesh yadav hits back at pm modi on 'inexperience' barb,-0.646075,2017-02-16,TimesOfIndia News
100,joined hands with congress to defeat communal forces: akhilesh yadav,0.0,2017-02-16,TimesOfIndia News
101,"uttar pradesh elections 2017: pm narendra modi hits out at akhilesh, says 'wouldn't ditch mai-baap'",0.0,2017-02-16,TimesOfIndia News
102,bjp bets on man who ended its winning streak in allahabad,0.0,2017-02-16,TimesOfIndia News
103,"mulayam singh yadav, dimple yadav add to chhoti bahu's star power",0.0,2017-02-16,TimesOfIndia News
104,pm modi should drive down e-way to see my kaam: akhilesh yadav,-0.429663,2017-02-16,TimesOfIndia News
