,Unnamed: 0,headline,score,date,newsroom
97,97,"mulayam's prestige at stake for daughter-in-law, brother",0.0,2017-02-16,TimesOfIndia News
98,98,farm loan waiver is another false promise of pm modi: rahul,-0.501236,2017-02-16,TimesOfIndia News
99,99,akhilesh yadav hits back at pm modi on 'inexperience' barb,-0.646075,2017-02-16,TimesOfIndia News
100,100,joined hands with congress to defeat communal forces: akhilesh yadav,0.0,2017-02-16,TimesOfIndia News
101,101,"uttar pradesh elections 2017: pm narendra modi hits out at akhilesh, says 'wouldn't ditch mai-baap'",0.0,2017-02-16,TimesOfIndia News
102,102,bjp bets on man who ended its winning streak in allahabad,0.0,2017-02-16,TimesOfIndia News
103,103,"mulayam singh yadav, dimple yadav add to chhoti bahu's star power",0.0,2017-02-16,TimesOfIndia News
104,104,pm modi should drive down e-way to see my kaam: akhilesh yadav,-0.429663,2017-02-16,TimesOfIndia News
0,0,modi-bashing by raj babbar at poll rally,0.0,2017-02-16,TimesOfIndia News
1,1,"bjp doesnt need crutches, wont form alliance with bsp: maurya",-0.358497,2017-02-16,TimesOfIndia News
2,2,up polls: sp candidate files nominations from varanasi cantt seat alloted to congress,0.0,2017-02-16,Zee news
3,3,up polls: akhilesh takes on shivpal in his bastion,0.0,2017-02-16,Zee news
4,4,"this up election is to end dynastic, caste-based politics, says amit shah in amethi",0.0,2017-02-16,Zee news
5,5,prime minister narendra modi doesn't need to form government in uttar pradesh to waive off farmers' loans: rahul gandhi,0.0,2017-02-16,Zee news
6,6,'sp-congress alliance will continue for 2019 lok sabha polls',0.0,2017-02-16,Zee news
7,7,"pm narendra modi draws parallel with lord krishna, says won't ditch 'mai-baap' up  ",0.0,2017-02-16,Zee news
8,8,"after dimple, akhilesh yadav all set to campaign for sister-in-law aparna yadav",0.0,2017-02-16,Zee news
9,9,bjp bets on man who ended its winning streak in allahabad,0.0,2017-02-16,Zee news
10,10,rahul gandhi to address election rally in sitapur today,0.0,2017-02-16,Zee news
11,11,uttar pradesh polls 2017: pm modi to address election rally in hardoi today,0.0,2017-02-16,Zee news
12,12,"up polls: mulayam, dimple yadav campaign for aparna in lucknow cantt",0.0,2017-02-16,Zee news
13,13,congress is taking advantage of akhilesh yadav: pm modi ,0.0,2017-02-16,Zee news
14,14,"up elections 2017: rahul gandhi jabs pm: we were shown ddlj's srk, got sholay's gabbar singh",0.0,2017-02-17,NDTV News
